#{"t_start": 1774030652.557245, "env_id": "ColoredChestKuka-v0"}
r,l,t
-37.991211,150,0.104105
2.881544,150,0.192223
13.903446,150,0.277186
-63.058987,150,0.362343
54.286388,150,0.445605
30.416034,150,0.530763
-5.791732,150,0.615691
-46.764431,150,0.705299
-46.775058,150,0.793097
8.204526,150,0.876543
-73.170892,150,0.960523
-20.399979,150,1.047287
21.588879,150,1.138182
-63.695393,150,1.706597
17.388827,150,1.793043
-91.366472,150,1.878584
-46.890586,150,1.96346
-46.142366,150,2.051396
23.939744,150,2.135058
1003.883696,150,2.218232
-26.351652,150,2.390615
-69.517924,150,2.477321
1025.713565,138,2.556913
0.532285,150,2.640785
-46.143494,150,2.729113
-21.118944,150,2.812794
-16.562715,150,2.897721
-27.379839,150,3.456538
-20.162155,150,3.542577
-46.928364,150,3.627026
-20.952113,150,3.712073
-54.22007,150,3.797836
54.229022,150,3.882211
-3.640501,150,3.967412
-10.269384,150,4.17217
-59.49427,150,4.297385
-50.446695,150,4.386941
0.491765,150,4.47097
1011.60958,137,4.551216
0.614752,150,4.635008
-1.492103,150,4.718492
55.301597,150,5.277472
-8.676008,150,5.362734
-34.199943,150,5.446359
1042.540165,142,5.527902
-20.69999,150,5.612646
-42.098828,150,5.698
-3.961521,150,5.782121
-5.01189,150,5.958288
1017.943909,106,6.030292
-60.881062,150,6.114528
-48.762296,150,6.198344
-34.422892,150,6.284562
-69.516848,150,6.368212
1008.092119,134,6.44554
-66.988901,150,7.097908
-61.402569,150,7.183943
16.096481,150,7.268761
-31.433288,150,7.359051
-50.77021,150,7.444598
-41.636755,150,7.529506
-46.275543,150,7.700899
-8.475026,150,7.784085
8.765514,150,7.869074
-24.41522,150,7.95461
40.932479,150,8.041841
-34.937231,150,8.128603
-27.442258,150,8.214602
-12.70595,150,8.766619
-31.503307,150,8.852497
1009.871769,122,8.92638
10.190445,150,9.010658
-13.608082,150,9.097212
-8.72588,150,9.18235
38.642062,150,9.266125
-30.193736,150,9.351833
-43.555033,150,9.537306
37.482479,150,9.651178
-22.458116,150,9.734289
-22.366372,150,9.818163
-41.591071,150,9.902642
1026.303008,107,9.971957
-25.526424,150,10.059109
-49.131297,150,10.605109
-57.052077,150,10.689695
1030.784518,101,10.756226
35.81643,150,10.840537
-3.617689,150,10.925594
34.876759,150,11.008926
19.601033,150,11.095557
-37.433975,150,11.264792
1035.665779,124,11.341365
51.174465,150,11.425875
-72.387068,150,11.51279
-71.395235,150,11.596562
11.022755,150,11.682054
-49.952537,150,11.769023
15.110417,150,12.325715
9.102253,150,12.410245
-30.000515,150,12.494936
1018.911331,109,12.564313
19.324963,150,12.647028
-52.524653,150,12.732401
30.85078,150,12.815728
-70.57335,150,12.90391
8.433162,150,13.081831
1019.4308,100,13.14882
0.474664,150,13.234938
22.677802,150,13.320963
-56.38777,150,13.40507
-59.078942,150,13.48804
23.962612,150,14.043661
24.905899,150,14.130015
17.944975,150,14.216412
15.000545,150,14.301682
24.768057,150,14.388737
24.430402,150,14.472706
-15.231173,150,14.559689
34.572447,150,14.753711
-32.245236,150,14.869204
47.985261,150,14.955027
28.233766,150,15.044364
-77.992713,150,15.130079
7.963005,150,15.214792
-19.676991,150,15.300825
1.911856,150,15.859986
-34.892638,150,15.94638
2.451223,150,16.033192
-62.272517,150,16.119271
1017.283757,97,16.189445
-19.217405,150,16.282556
40.15256,150,16.368598
25.383931,150,16.541442
27.513478,150,16.628711
10.532984,150,16.713402
-25.010621,150,16.800818
-14.114373,150,16.887656
18.008737,150,16.973901
-27.30698,150,17.059457
-1.826929,150,17.612327
-41.461266,150,17.779661
-65.378691,150,17.87317
-40.821071,150,17.957054
-17.041887,150,18.044768
47.289095,150,18.130228
4.248095,150,18.300038
-35.250892,150,18.39635
-5.230072,150,18.482097
18.233856,150,18.566408
-24.203061,150,18.651553
-23.561347,150,18.735864
37.311044,150,18.821105
-70.979455,150,19.404317
1053.970753,128,19.480248
54.721046,150,19.566613
52.27984,150,19.652709
-42.442612,150,19.739513
-13.048772,150,19.835348
35.630798,150,19.921288
-1.100057,150,20.009844
71.76282,150,20.215767
-85.467937,150,20.359035
-26.585372,150,20.450909
-65.894096,150,20.536515
54.641918,150,20.624503
-61.294569,150,20.709998
-77.462736,150,21.308321
-30.370193,150,21.403204
-39.123549,150,21.497393
18.7197,150,21.596128
-31.415507,150,21.683286
44.151497,150,21.770316
2.835986,150,21.940801
-67.577929,150,22.029893
-0.727878,150,22.116118
25.025569,150,22.21636
3.542192,150,22.308589
-17.195743,150,22.393918
-38.135225,150,22.480246
-1.060674,150,22.567029
1.016381,150,23.118606
-20.404122,150,23.203891
-48.469803,150,23.290966
-45.41092,150,23.378012
-57.549075,150,23.461832
3.628645,150,23.54555
1021.229379,91,23.606439
70.181721,150,23.691649
21.448911,150,23.862665
49.713701,150,23.947885
-51.006352,150,24.036661
-48.407598,150,24.122025
18.627888,150,24.207632
-44.718609,150,24.292573
1031.746028,104,24.828833
57.773336,150,24.912927
10.125409,150,24.998642
58.918942,150,25.089481
26.731424,150,25.175661
6.163253,150,25.261658
63.969423,150,25.346526
32.768236,150,25.431458
1020.108188,94,25.589402
27.035761,150,25.696151
-47.321512,150,25.781567
34.954048,150,25.866842
-37.712963,150,25.951885
14.253528,150,26.039082
10.05709,150,26.586314
-36.82833,150,26.671467
-2.723744,150,26.755801
57.28868,150,26.84214
39.210673,150,26.927292
4.497646,150,27.014142
-32.451832,150,27.103031
14.258694,150,27.253607
42.930291,150,27.353349
-28.831366,150,27.438605
12.999084,150,27.523264
1035.13944,111,27.59267
44.062134,150,27.681719
1043.560488,101,27.747698
1016.436528,91,27.812051
0.099966,150,28.368245
68.546484,150,28.452401
24.827854,150,28.536895
40.80719,150,28.713446
4.275653,150,28.799268
-55.858749,150,28.885977
-51.976912,150,29.064594
-21.349306,150,29.150887
51.784435,150,29.237969
-17.109099,150,29.322246
-23.884888,150,29.409779
19.067787,150,29.496945
-61.404456,150,29.583181
-15.982486,150,30.140505
-10.366263,150,30.224484
11.29241,150,30.308383
-51.412653,150,30.394226
17.194619,150,30.479369
18.641603,150,30.564998
-41.279835,150,30.776933
1.612255,150,31.095052
-21.950788,150,31.182437
8.108019,150,31.270801
-44.281886,150,31.356968
44.371059,150,31.442594
-33.420711,150,31.526583
-14.46299,150,31.615237
11.562368,150,32.184222
24.920904,150,32.271396
41.879707,150,32.356683
-47.506227,150,32.441308
7.17584,150,32.526305
1024.197916,108,32.596764
-12.414437,150,32.68693
31.026792,150,32.872671
28.600257,150,32.959048
9.743526,150,33.046468
22.984993,150,33.134762
-6.059117,150,33.219471
-7.052021,150,33.303729
32.859346,150,33.392487
20.932248,150,33.954633
-6.520515,150,34.044787
-4.691234,150,34.13163
-30.302391,150,34.218815
1020.186927,93,34.281723
27.53391,150,34.366043
-14.186655,150,34.453585
28.471349,150,34.632554
1042.827678,121,34.706269
26.754749,150,34.791249
41.680542,150,34.87655
-1.881469,150,34.964011
-25.139043,150,35.052094
11.407308,150,35.137955
12.849807,150,35.686864
-27.173554,150,35.772061
-36.438642,150,35.856213
-35.001684,150,35.940351
71.388462,150,36.027103
-21.300647,150,36.111911
-10.561746,150,36.195739
-20.133429,150,36.494596
6.768495,150,36.641563
-4.605097,150,36.729985
59.033692,150,36.81617
-26.235843,150,36.90248
