#{"t_start": 1774025425.9025102, "env_id": "ColoredChestKuka-v0"}
r,l,t
-58.671793,150,0.104342
-64.280084,150,0.190816
-34.211195,150,0.284661
22.577734,150,0.37462
-45.855203,150,0.46078
19.802418,150,0.54816
-31.669342,150,0.633652
29.903123,150,0.721272
-3.665545,150,0.806112
-4.684507,150,0.889896
-62.739118,150,0.977816
-46.014301,150,1.071884
-8.401758,150,1.176185
-11.354884,150,1.96327
-27.837667,150,2.056652
-4.988647,150,2.16259
-61.398335,150,2.260517
-41.923932,150,2.35243
-47.345766,150,2.536248
-15.260294,150,2.641134
-74.554344,150,2.727747
-12.412855,150,2.811946
-18.633058,150,2.897981
-46.926958,150,2.990235
-33.103159,150,3.08902
13.892595,150,3.188295
-26.51492,150,3.28233
-57.400616,150,3.87005
43.068651,150,3.972112
-57.833879,150,4.063601
35.689555,150,4.154331
-18.317177,150,4.24899
-47.488016,150,4.337407
-2.123678,150,4.506255
40.919069,150,4.616985
15.222114,150,4.70937
-78.674531,150,4.797032
1026.511802,112,4.872012
41.06231,150,4.962647
-26.096679,150,5.052549
-11.214898,150,5.146183
-69.460067,150,5.734313
36.12697,150,5.824432
67.964157,150,5.966779
24.29009,150,6.059348
-73.15453,150,6.152667
30.750896,150,6.253595
1015.983332,124,6.44576
1021.892767,148,6.536993
6.548754,150,6.634226
11.320065,150,6.729688
62.130787,150,6.819091
-52.126352,150,6.906782
-2.691545,150,6.994542
10.815816,150,7.082742
-25.024651,150,7.638419
-13.525032,150,7.72598
41.528915,150,7.811762
30.953463,150,7.897208
1020.405508,130,7.972357
20.958936,150,8.057692
-35.248042,150,8.141708
-21.048185,150,8.33417
-61.048975,150,8.42148
-28.65302,150,8.506976
59.427926,150,8.590593
-56.020794,150,8.67775
22.331467,150,8.766639
-36.767441,150,9.323763
-36.093891,150,9.408129
-7.729479,150,9.496703
9.227922,150,9.581106
39.92171,150,9.668436
-11.293554,150,9.752376
-6.816221,150,9.839879
1028.661837,119,9.916206
4.509507,150,10.004128
-4.284027,150,10.090095
-54.620376,150,10.180155
-25.802415,150,10.264154
49.091629,150,10.351255
1016.283007,117,10.427792
-52.990678,150,10.982934
-57.927339,150,11.071314
13.174219,150,11.156187
-71.162285,150,11.241523
-7.497402,150,11.327858
-16.30732,150,11.414939
1012.579388,96,11.480105
39.184493,150,11.564785
-34.135875,150,11.650094
-79.150637,150,11.735131
17.088696,150,11.820099
1.029695,150,11.901862
-8.463343,150,11.986551
-57.398643,150,12.074052
24.638714,150,12.707841
-12.032108,150,12.792775
-35.243782,150,12.885439
-54.169808,150,12.982742
8.17019,150,13.089339
2.457308,150,13.179474
-5.157523,150,13.349227
-28.049016,150,13.435525
32.919962,150,13.520684
-43.640159,150,13.60539
-50.902676,150,13.689635
50.434972,150,13.774362
1014.963087,101,13.842748
-27.929233,150,13.928628
-34.998787,150,14.482849
-24.410106,150,14.57315
24.841377,150,14.660758
-45.639757,150,14.748154
19.128646,150,14.831502
-69.114539,150,14.916236
9.270107,150,15.001891
-30.787047,150,15.158851
-11.43795,150,15.258379
-39.612508,150,15.354684
38.55834,150,15.44731
1.711858,150,15.538138
16.432815,150,15.630488
7.444088,150,15.724552
1023.85725,138,16.507213
36.391495,150,16.60936
-20.595037,150,16.747401
-52.532749,150,17.239218
40.818819,150,17.402217
46.341625,150,17.553353
-21.073819,150,17.710848
17.073117,150,17.869457
-24.684861,150,17.972382
-24.391536,150,18.058798
-61.310792,150,18.145804
-59.822074,150,18.231776
36.215416,150,18.319663
-7.251736,150,18.407916
3.038084,150,18.971687
-6.925812,150,19.063025
-16.902095,150,19.154359
-18.442153,150,19.240984
-53.230654,150,19.329028
-15.987712,150,19.415002
1020.008309,101,19.482299
31.519655,150,19.666698
-38.444482,150,19.754202
36.271883,150,19.846665
-22.917314,150,19.935416
-2.042853,150,20.019028
-18.924372,150,20.106986
-45.905638,150,20.193295
-57.274734,150,20.781246
38.384054,150,20.881365
-10.095448,150,20.968658
9.862199,150,21.056353
16.821675,150,21.147272
67.123892,150,21.247629
-9.761065,150,21.448515
-14.051547,150,21.54191
22.841146,150,21.637978
5.67164,150,21.730331
52.432632,150,21.818187
-60.589063,150,21.904369
55.262506,150,21.989593
-38.598768,150,22.545046
-37.599269,150,22.631191
-4.490682,150,22.716643
-21.009776,150,22.801552
-64.033956,150,22.889025
-21.951088,150,22.975888
-8.639559,150,23.063095
16.108942,150,23.213528
76.700035,150,23.317073
1026.165118,110,23.392726
-39.391594,150,23.484104
-5.941981,150,23.575293
-56.406438,150,23.664184
27.390704,150,23.751882
7.429103,150,24.298046
18.618815,150,24.387991
4.408443,150,24.476004
-57.064003,150,24.561796
21.601663,150,24.64508
-20.399529,150,24.728355
48.399176,150,24.815646
37.060537,150,24.902015
-22.529828,150,25.054628
33.447767,150,25.153829
6.760731,150,25.239529
33.992587,150,25.326636
0.758694,150,25.413037
9.924705,150,25.498454
1014.496623,96,26.020952
18.04804,150,26.108007
37.934741,150,26.192772
68.632911,150,26.280265
46.451792,150,26.36656
-0.317459,150,26.451344
-33.280255,150,26.536677
7.524756,150,26.624805
32.823846,150,26.715624
27.150288,150,26.801402
-50.558719,150,26.896844
42.971167,150,26.995891
31.006817,150,27.095195
-7.80145,150,27.184338
-12.952329,150,27.733906
-52.291991,150,27.894752
41.294603,150,27.982711
-52.626158,150,28.069054
-2.335588,150,28.157186
1069.020146,147,28.240613
-1.567543,150,28.327946
38.989587,150,28.41581
47.097576,150,28.50101
4.730738,150,28.590162
31.109833,150,28.676861
3.924432,150,28.765065
38.118452,150,28.849518
58.802961,150,28.939389
34.592744,150,29.567906
1041.176771,110,29.641701
19.827156,150,29.726675
-9.26717,150,29.812008
2.4963,150,29.89729
-26.59675,150,29.982289
-46.143671,150,30.073428
-25.756128,150,30.160852
1015.516313,77,30.221019
-40.648771,150,30.30687
